district,NAME_2,year,mean
Navsari,Navsari,2018.0,0.4922110251131315
PanchMahals,PanchMahals,2018.0,0.4650751167359944
Patan,Patan,2018.0,0.3079517152860865
Porbandar,Porbandar,2018.0,0.3009215741013406
Rajkot,Rajkot,2018.0,0.3337588241566172
SabarKantha,SabarKantha,2018.0,0.463200211271271
Surat,Surat,2018.0,0.42723053692147994
Surendranagar,Surendranagar,2018.0,0.2941540365477677
Tapi,Tapi,2018.0,0.39755515541618125
TheDangs,TheDangs,2018.0,0.49361905703347186
Vadodara,Vadodara,2018.0,0.5068775089156159
Valsad,Valsad,2018.0,0.46400173144003604
Ahmadabad,Ahmadabad,2019.0,0.2719379297412744
Amreli,Amreli,2019.0,0.25438243732335847
Anand,Anand,2019.0,0.41591201485259083
Aravalli,Aravalli,2019.0,0.38565847923725927
BanasKantha,BanasKantha,2019.0,0.3700788969227632
Bharuch,Bharuch,2019.0,0.2857983453092872
Bhavnagar,Bhavnagar,2019.0,0.2249508372356188
Botad,Botad,2019.0,0.25279146156806304
ChhotaUdaipur,ChhotaUdaipur,2019.0,0.36631574659475136
Dahod,Dahod,2019.0,0.32152752327326534
DevbhumiDwarka,DevbhumiDwarka,2019.0,0.17334565692706325
Gandhinagar,Gandhinagar,2019.0,0.40207221006411425
GirSomnath,GirSomnath,2019.0,0.4002924308580414
Jamnagar,Jamnagar,2019.0,0.21888814928145925
Junagadh,Junagadh,2019.0,0.31433996412634246
Kachchh,Kachchh,2019.0,0.10460300884773766
Kheda,Kheda,2019.0,0.4188410347489848
Mahesana,Mahesana,2019.0,0.4032929804949675
Mahisagar,Mahisagar,2019.0,0.3534105980947866
Morbi,Morbi,2019.0,0.27501652369882446
Narmada,Narmada,2019.0,0.293343248162849
Navsari,Navsari,2019.0,0.3884970046591789
PanchMahals,PanchMahals,2019.0,0.37208285100978955
Patan,Patan,2019.0,0.2915744810575395
Porbandar,Porbandar,2019.0,0.22920058461016
Rajkot,Rajkot,2019.0,0.25192413884038295
SabarKantha,SabarKantha,2019.0,0.40388323585747254
Surat,Surat,2019.0,0.34588378259795216
Surendranagar,Surendranagar,2019.0,0.2707610867531023
Tapi,Tapi,2019.0,0.29254562438998544
TheDangs,TheDangs,2019.0,0.2947721697385993
Vadodara,Vadodara,2019.0,0.41618808282454756
Valsad,Valsad,2019.0,0.33912327593954616
Ahmadabad,Ahmadabad,2020.0,0.3521091879699864
Amreli,Amreli,2020.0,0.3707163118667705
Anand,Anand,2020.0,0.4447909204724521
Aravalli,Aravalli,2020.0,0.45489555923027364
BanasKantha,BanasKantha,2020.0,0.3988026852601438
Bharuch,Bharuch,2020.0,0.36252959561820486
Bhavnagar,Bhavnagar,2020.0,0.3265270128630318
Botad,Botad,2020.0,0.41767230378257747
ChhotaUdaipur,ChhotaUdaipur,2020.0,0.4543117945676293
Dahod,Dahod,2020.0,0.41125356088238085
DevbhumiDwarka,DevbhumiDwarka,2020.0,0.26393831726167255
Gandhinagar,Gandhinagar,2020.0,0.43371222459109954
GirSomnath,GirSomnath,2020.0,0.45710291416318577
Jamnagar,Jamnagar,2020.0,0.32540864267215597
Junagadh,Junagadh,2020.0,0.42158548777040994
Kachchh,Kachchh,2020.0,0.12224947537472351
Kheda,Kheda,2020.0,0.46766438777629643
Mahesana,Mahesana,2020.0,0.4416602099137992
Mahisagar,Mahisagar,2020.0,0.43325852560275
Morbi,Morbi,2020.0,0.35148828533411164
Narmada,Narmada,2020.0,0.36911116343890404
Navsari,Navsari,2020.0,0.4470328257337441
PanchMahals,PanchMahals,2020.0,0.4596077470962809
Patan,Patan,2020.0,0.3507874648982222
Porbandar,Porbandar,2020.0,0.3221684623780956
Rajkot,Rajkot,2020.0,0.3827517663420671
SabarKantha,SabarKantha,2020.0,0.4607954162822921
Surat,Surat,2020.0,0.39925421690604485
